[I 250409 18:17:07 optionslib:109] on open
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74757', 'sequence_number': 61551200, 'exchange_timestamp': 1744192800000, 'last_traded_price': 166075, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74998', 'sequence_number': 61550481, 'exchange_timestamp': 1744192799000, 'last_traded_price': 17380, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75008', 'sequence_number': 61551683, 'exchange_timestamp': 1744192800000, 'last_traded_price': 11760, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74996', 'sequence_number': 61550973, 'exchange_timestamp': 1744192800000, 'last_traded_price': 18205, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75006', 'sequence_number': 61552376, 'exchange_timestamp': 1744192800000, 'last_traded_price': 12750, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74994', 'sequence_number': 61551608, 'exchange_timestamp': 1744192800000, 'last_traded_price': 20300, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75004', 'sequence_number': 61550931, 'exchange_timestamp': 1744192800000, 'last_traded_price': 13795, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74992', 'sequence_number': 61552955, 'exchange_timestamp': 1744192801000, 'last_traded_price': 21860, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75002', 'sequence_number': 61551137, 'exchange_timestamp': 1744192800000, 'last_traded_price': 14890, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74990', 'sequence_number': 61552410, 'exchange_timestamp': 1744192800000, 'last_traded_price': 23500, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75044', 'sequence_number': 61553155, 'exchange_timestamp': 1744192801000, 'last_traded_price': 7100, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75000', 'sequence_number': 61552956, 'exchange_timestamp': 1744192801000, 'last_traded_price': 16065, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74829', 'sequence_number': 61551614, 'exchange_timestamp': 1744192800000, 'last_traded_price': 83140, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74727', 'sequence_number': 61552546, 'exchange_timestamp': 1744192800000, 'last_traded_price': 196495, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74968', 'sequence_number': 61552122, 'exchange_timestamp': 1744192800000, 'last_traded_price': 52865, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74802', 'sequence_number': 61552553, 'exchange_timestamp': 1744192800000, 'last_traded_price': 137700, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74966', 'sequence_number': 61551974, 'exchange_timestamp': 1744192800000, 'last_traded_price': 56335, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74768', 'sequence_number': 61552496, 'exchange_timestamp': 1744192800000, 'last_traded_price': 158795, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74800', 'sequence_number': 61552791, 'exchange_timestamp': 1744192800000, 'last_traded_price': 143450, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74964', 'sequence_number': 61551906, 'exchange_timestamp': 1744192800000, 'last_traded_price': 60230, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74962', 'sequence_number': 61551631, 'exchange_timestamp': 1744192800000, 'last_traded_price': 64695, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74885', 'sequence_number': 61552403, 'exchange_timestamp': 1744192800000, 'last_traded_price': 73500, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75016', 'sequence_number': 61551685, 'exchange_timestamp': 1744192800000, 'last_traded_price': 8255, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75014', 'sequence_number': 61550487, 'exchange_timestamp': 1744192799000, 'last_traded_price': 9325, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75012', 'sequence_number': 61552333, 'exchange_timestamp': 1744192800000, 'last_traded_price': 9900, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75010', 'sequence_number': 61550598, 'exchange_timestamp': 1744192799000, 'last_traded_price': 11000, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74814', 'sequence_number': 61551630, 'exchange_timestamp': 1744192800000, 'last_traded_price': 105990, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74978', 'sequence_number': 61552500, 'exchange_timestamp': 1744192800000, 'last_traded_price': 36435, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74812', 'sequence_number': 61551690, 'exchange_timestamp': 1744192800000, 'last_traded_price': 111005, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74779', 'sequence_number': 61553161, 'exchange_timestamp': 1744192801000, 'last_traded_price': 150560, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74976', 'sequence_number': 61552954, 'exchange_timestamp': 1744192801000, 'last_traded_price': 39695, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74810', 'sequence_number': 61551952, 'exchange_timestamp': 1744192800000, 'last_traded_price': 118500, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74733', 'sequence_number': 61550930, 'exchange_timestamp': 1744192800000, 'last_traded_price': 179290, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74974', 'sequence_number': 61551960, 'exchange_timestamp': 1744192800000, 'last_traded_price': 41975, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74972', 'sequence_number': 61552346, 'exchange_timestamp': 1744192800000, 'last_traded_price': 45570, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74970', 'sequence_number': 61551613, 'exchange_timestamp': 1744192800000, 'last_traded_price': 48645, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74891', 'sequence_number': 61552112, 'exchange_timestamp': 1744192800000, 'last_traded_price': 69050, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75020', 'sequence_number': 61550075, 'exchange_timestamp': 1744192799000, 'last_traded_price': 7900, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74808', 'sequence_number': 61551909, 'exchange_timestamp': 1744192800000, 'last_traded_price': 124870, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74806', 'sequence_number': 61552499, 'exchange_timestamp': 1744192800000, 'last_traded_price': 131000, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74729', 'sequence_number': 61552484, 'exchange_timestamp': 1744192800000, 'last_traded_price': 186750, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74824', 'sequence_number': 61552115, 'exchange_timestamp': 1744192800000, 'last_traded_price': 88010, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74988', 'sequence_number': 61552760, 'exchange_timestamp': 1744192800000, 'last_traded_price': 25055, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74822', 'sequence_number': 61551492, 'exchange_timestamp': 1744192800000, 'last_traded_price': 94495, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '75118', 'sequence_number': 61552381, 'exchange_timestamp': 1744192800000, 'last_traded_price': 6105, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74986', 'sequence_number': 61552064, 'exchange_timestamp': 1744192800000, 'last_traded_price': 27830, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74984', 'sequence_number': 61552117, 'exchange_timestamp': 1744192800000, 'last_traded_price': 29600, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74863', 'sequence_number': 61552340, 'exchange_timestamp': 1744192800000, 'last_traded_price': 78285, 'subscription_mode_val': 'LTP'}
[I 250409 18:17:07 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74982', 'sequence_number': 61552411, 'exchange_timestamp': 1744192800000, 'last_traded_price': 32595, 'subscription_mode_val': 'LTP'}
[E 250409 18:17:07 optionslib:119] Connection closed
[W 250409 18:17:07 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[E 250409 18:17:07 optionslib:119] Connection closed
[W 250409 18:17:07 smartWebSocketV2:343] Connection closed due to max retry attempts reached.
[I 250409 18:30:22 optionslib:109] on open
[I 250409 18:30:23 optionslib:59] Ticks: {'subscription_mode': 1, 'exchange_type': 2, 'token': '74758', 'sequence_number': 61552545, 'exchange_timestamp': 1744192800000, 'last_traded_price': 55795, 'subscription_mode_val': 'LTP'}
